duelist_id,rank,card_id,weight
1,SAPow,2,27
1,SAPow,9,90
1,SAPow,10,30
1,SAPow,16,60
1,SAPow,19,6
1,SAPow,24,27
1,SAPow,25,27
1,SAPow,30,27
1,SAPow,41,27
1,SAPow,46,27
1,SAPow,47,27
1,SAPow,48,27
1,SAPow,58,30
1,SAPow,59,27
1,SAPow,65,27
1,SAPow,105,52
1,SAPow,123,52
1,SAPow,130,52
1,SAPow,137,52
1,SAPow,167,52
1,SAPow,192,52
1,SAPow,197,52
1,SAPow,202,52
1,SAPow,237,52
1,SAPow,238,12
1,SAPow,289,52
1,SAPow,333,40
1,SAPow,381,2
1,SAPow,387,52
1,SAPow,397,52
1,SAPow,402,52
1,SAPow,410,52
1,SAPow,411,52
1,SAPow,422,52
1,SAPow,436,52
1,SAPow,444,52
1,SAPow,469,52
1,SAPow,484,52
1,SAPow,485,52
1,SAPow,488,52
1,SAPow,504,52
1,SAPow,516,52
1,SAPow,547,52
1,SAPow,548,52
1,SAPow,558,52
1,SAPow,563,52
1,SAPow,635,52
1,BCD,9,98
1,BCD,16,57
1,BCD,19,6
1,BCD,24,29
1,BCD,47,29
1,BCD,48,29
1,BCD,58,30
1,BCD,102,14
1,BCD,105,57
1,BCD,123,57
1,BCD,130,57
1,BCD,137,57
1,BCD,167,56
1,BCD,192,56
1,BCD,197,56
1,BCD,202,56
1,BCD,237,56
1,BCD,238,14
1,BCD,289,56
1,BCD,301,20
1,BCD,333,40
1,BCD,387,56
1,BCD,397,56
1,BCD,402,56
1,BCD,410,56
1,BCD,411,56
1,BCD,422,56
1,BCD,436,56
1,BCD,444,56
1,BCD,469,56
1,BCD,484,56
1,BCD,485,56
1,BCD,488,56
1,BCD,504,56
1,BCD,516,56
1,BCD,547,56
1,BCD,548,56
1,BCD,558,56
1,BCD,563,56
1,BCD,635,56
1,BCD,677,18
1,BCD,681,18
1,BCD,690,18
1,SATec,9,92
1,SATec,16,54
1,SATec,19,6
1,SATec,24,27
1,SATec,47,27
1,SATec,48,27
1,SATec,58,27
1,SATec,102,12
1,SATec,105,53
1,SATec,123,53
1,SATec,130,53
1,SATec,137,53
1,SATec,167,52
1,SATec,192,52
1,SATec,197,52
1,SATec,202,52
1,SATec,237,52
1,SATec,238,12
1,SATec,289,52
1,SATec,301,20
1,SATec,313,20
1,SATec,314,20
1,SATec,333,36
1,SATec,336,20
1,SATec,349,36
1,SATec,387,52
1,SATec,397,52
1,SATec,402,52
1,SATec,410,52
1,SATec,411,52
1,SATec,422,52
1,SATec,436,52
1,SATec,444,52
1,SATec,469,52
1,SATec,484,52
1,SATec,485,52
1,SATec,488,52
1,SATec,504,52
1,SATec,516,52
1,SATec,547,52
1,SATec,548,52
1,SATec,558,52
1,SATec,563,52
1,SATec,635,52
1,SATec,676,20
1,SATec,677,20
1,SATec,681,20
1,SATec,682,20
1,SATec,690,20
2,SAPow,19,6
2,SAPow,24,180
2,SAPow,58,180
2,SAPow,102,12
2,SAPow,167,180
2,SAPow,302,16
2,SAPow,330,30
2,SAPow,393,176
2,SAPow,395,176
2,SAPow,398,176
2,SAPow,399,176
2,SAPow,402,176
2,SAPow,469,176
2,SAPow,475,176
2,SAPow,527,176
2,SAPow,543,12
2,SAPow,566,12
2,SAPow,570,6
2,SAPow,580,6
2,BCD,19,6
2,BCD,24,180
2,BCD,58,180
2,BCD,167,180
2,BCD,302,16
2,BCD,330,30
2,BCD,393,180
2,BCD,395,178
2,BCD,398,178
2,BCD,399,178
2,BCD,402,178
2,BCD,469,178
2,BCD,475,178
2,BCD,527,178
2,BCD,681,14
2,BCD,690,15
2,BCD,699,1
2,SATec,19,6
2,SATec,24,170
2,SATec,58,170
2,SATec,167,168
2,SATec,302,16
2,SATec,312,15
2,SATec,313,15
2,SATec,330,30
2,SATec,336,15
2,SATec,345,15
2,SATec,350,30
2,SATec,393,170
2,SATec,395,170
2,SATec,398,170
2,SATec,399,170
2,SATec,402,168
2,SATec,469,168
2,SATec,475,168
2,SATec,527,168
2,SATec,681,15
2,SATec,682,15
2,SATec,690,15
2,SATec,699,1
3,SAPow,4,20
3,SAPow,16,64
3,SAPow,20,6
3,SAPow,29,20
3,SAPow,50,44
3,SAPow,61,20
3,SAPow,100,20
3,SAPow,104,44
3,SAPow,105,44
3,SAPow,122,44
3,SAPow,130,44
3,SAPow,135,44
3,SAPow,137,44
3,SAPow,152,44
3,SAPow,154,44
3,SAPow,174,44
3,SAPow,182,44
3,SAPow,185,44
3,SAPow,191,44
3,SAPow,197,44
3,SAPow,202,44
3,SAPow,207,44
3,SAPow,210,44
3,SAPow,214,44
3,SAPow,237,44
3,SAPow,242,44
3,SAPow,245,44
3,SAPow,268,44
3,SAPow,333,25
3,SAPow,410,44
3,SAPow,420,44
3,SAPow,422,44
3,SAPow,436,44
3,SAPow,444,44
3,SAPow,485,44
3,SAPow,486,44
3,SAPow,488,44
3,SAPow,492,44
3,SAPow,501,44
3,SAPow,516,44
3,SAPow,524,44
3,SAPow,549,44
3,SAPow,558,44
3,SAPow,563,44
3,SAPow,570,6
3,SAPow,579,44
3,SAPow,580,6
3,SAPow,581,2
3,SAPow,588,2
3,SAPow,589,44
3,SAPow,598,44
3,SAPow,607,2
3,SAPow,611,44
3,SAPow,616,2
3,SAPow,651,33
3,SAPow,681,16
3,BCD,16,64
3,BCD,20,6
3,BCD,50,44
3,BCD,104,44
3,BCD,105,44
3,BCD,122,44
3,BCD,130,44
3,BCD,135,44
3,BCD,137,44
3,BCD,152,44
3,BCD,154,44
3,BCD,174,44
3,BCD,182,44
3,BCD,185,44
3,BCD,191,44
3,BCD,197,44
3,BCD,202,44
3,BCD,207,44
3,BCD,210,44
3,BCD,214,44
3,BCD,237,44
3,BCD,242,44
3,BCD,245,44
3,BCD,268,44
3,BCD,301,16
3,BCD,302,16
