"card1","card2","result"
2,8,638
2,9,470
2,10,551
2,12,551
2,17,551
2,18,551
2,19,551
2,20,551
2,21,551
2,24,470
2,28,531
2,30,470
2,34,551
2,45,462
2,46,627
2,47,627
2,61,627
2,65,627
2,74,531
2,75,638
2,83,551
2,89,449
2,91,627
2,100,41
2,102,551
2,103,551
2,104,551
2,107,41
2,108,470
2,109,582
2,110,41
2,111,551
2,112,551
2,113,627
2,115,551
2,118,41
2,120,41
2,121,627
2,123,638
2,127,551
2,129,551
2,130,582
2,132,470
2,134,582
2,135,470
2,136,551
2,138,41
2,139,470
2,146,551
2,147,41
2,148,551
2,149,551
2,151,41
2,153,470
2,154,470
2,156,41
2,157,638
2,158,638
2,160,41
2,161,41
2,164,551
2,166,41
2,167,531
2,169,551
2,170,582
2,172,41
2,173,551
2,175,551
2,177,449
2,178,551
2,179,551
2,180,638
2,182,551
2,185,41
2,188,627
2,189,627
2,190,551
2,191,462
2,192,582
2,193,449
2,195,41
2,197,470
2,198,582
2,201,627
2,202,627
2,203,470
2,208,582
2,211,462
2,214,41
2,215,470
2,220,551
2,224,551
2,226,41
2,228,470
2,229,582
2,231,551
2,233,551
2,234,551
2,235,41
2,236,551
2,237,531
2,238,638
2,239,551
2,241,470
2,244,531
2,247,431
2,248,627
2,250,41
2,251,626
2,253,551
2,255,627
2,256,41
2,257,531
2,259,551
2,260,582
2,262,41
2,263,531
2,264,582
2,266,41
2,267,551
2,268,551
2,269,551
2,271,551
2,273,638
2,274,638
2,276,582
2,279,551
2,280,41
2,281,551
2,282,627
2,286,551
2,288,551
2,290,41
2,293,41
2,294,41
2,299,41
2,354,41
2,359,470
2,362,41
2,366,531
2,379,551
2,387,551
2,388,551
2,395,582
2,396,582
2,399,41
2,403,627
2,425,458
2,426,531
2,429,582
2,436,431
2,448,458
2,453,531
2,454,531
2,455,531
2,456,531
2,457,531
2,459,462
2,460,462
2,461,462
2,462,458
2,463,462
2,469,41
2,481,627
2,487,627
2,488,638
2,489,638
2,492,582
2,502,41
2,503,449
2,505,531
2,510,638
2,511,638
2,515,531
2,516,531
2,517,531
2,527,627
2,528,627
2,530,551
2,537,462
2,539,470
2,540,582
2,546,626
2,547,638
2,548,470
2,553,41
2,554,551
2,556,470
2,558,531
2,559,41
2,563,551
2,567,638
2,574,551
2,575,627
2,578,551
2,579,638
2,584,582
2,586,41
2,588,638
2,589,638
2,591,531
2,592,582
2,597,627
2,598,627
2,600,551
2,601,582
2,604,627
2,608,582
2,610,462
2,616,582
2,618,551
2,620,638
2,621,551
2,623,531
2,628,551
2,629,627
2,632,531
2,633,582
2,635,41
2,637,638
2,641,41
2,642,627
2,649,551
3,4,31
3,7,31
3,122,31
3,138,31
3,200,31
3,280,641
3,296,31
3,298,31
3,561,31
3,603,31
4,6,31
4,8,571
4,9,97
4,16,69
4,17,10
4,18,10
4,19,10
4,20,10
4,21,10
4,24,97
4,25,31
4,28,426
4,30,97
4,34,10
4,36,97
4,41,11
4,43,11
4,45,425
4,48,31
4,58,31
4,59,31
4,62,386
4,66,11
4,70,448
4,71,448
4,74,426
4,75,571
4,78,11
4,83,10
4,84,31
4,88,31
4,89,448
4,93,11
4,96,97
4,97,545
4,98,97
4,99,39
4,100,502
4,102,10
4,103,10
4,104,10
4,107,502
4,108,97
4,110,502
4,112,10
4,115,10
4,118,502
4,119,31
4,120,502
4,123,571
4,124,409
4,127,11
4,129,10
4,131,73
4,132,97
4,135,97
4,136,10
4,137,31
4,138,502
4,139,97
4,140,448
4,141,31
4,146,97
4,147,502
4,148,10
4,149,10
4,150,73
4,151,502
4,152,448
4,153,97
4,154,97
4,156,502
4,157,571
4,158,571
4,160,502
4,161,502
4,162,31
4,164,10
4,165,11
4,166,502
4,167,426
4,169,10
4,172,502
4,173,10
4,175,10
4,177,448
4,178,10
4,179,10
4,180,571
4,182,502
4,185,502
4,187,31
4,190,10
4,191,425
4,193,448
4,194,31
4,195,502
4,196,448
4,197,97
4,199,448
4,202,31
4,203,97
4,205,448
4,206,448
4,211,425
4,212,31
4,214,502
4,215,97
4,218,31
4,219,31
4,220,10
4,222,31
4,224,502
4,225,11
4,226,502
4,227,448
4,228,97
4,231,502
4,232,31
4,233,10
4,234,11
4,235,502
4,236,502
4,237,426
4,238,571
4,239,502
4,240,31
4,241,97
4,243,448
4,244,426
4,245,31
4,246,31
4,249,448
4,250,502
4,253,10
4,254,31
4,256,502
4,257,426
4,258,448
4,259,10
4,262,502
4,263,426
4,265,448
4,266,502
4,267,502
4,268,10
4,269,10
4,270,448
4,271,10
4,273,571
4,274,571
4,275,409
4,277,31
4,279,10
4,280,502
4,283,409
4,286,409
4,287,31
4,288,10
4,289,448
4,290,502
4,292,448
4,293,502
4,294,502
4,297,409
4,298,31
4,299,502
4,351,97
4,352,11
4,354,502
4,355,409
4,359,97
4,361,448
4,362,502
4,366,426
4,368,545
4,369,11
4,371,613
4,384,31
4,387,10
4,388,409
4,393,448
4,394,409
4,398,448
4,399,502
4,402,31
4,405,409
4,406,409
4,408,409
4,410,409
4,411,409
4,412,409
4,413,409
4,414,409
4,416,409
4,417,409
4,418,409
4,419,409
4,420,409
4,421,409
4,422,409
4,423,409
4,425,613
4,430,448
4,431,448
4,432,448
4,435,448
4,438,409
4,441,409
4,444,448
4,445,448
4,446,448
4,449,448
4,450,448
4,451,448
4,452,448
4,454,426
4,455,426
4,456,426
4,457,426
4,458,613
4,459,425
4,460,425
4,461,425
4,462,425
4,463,425
4,469,502
4,470,97
4,474,448
4,484,448
4,488,571
4,489,571
4,490,31
4,497,448
4,502,11
4,503,448
4,505,426
4,508,409
4,510,571
4,511,571
4,512,409
4,513,409
4,514,409
4,515,426
4,516,426
4,517,426
4,518,448
4,519,73
4,520,443
4,524,448
4,530,10
4,534,31
4,537,425
4,539,97
4,544,409
4,545,39
4,547,571
4,548,97
4,549,448
4,550,448
4,553,502
4,554,11
4,556,97
4,557,409
4,558,426
4,559,502
4,561,31
4,563,10
4,567,571
4,574,10
4,578,10
4,579,571
4,580,409
4,583,448
4,585,409
4,586,502
4,588,571
4,589,571
4,591,426
4,593,448
4,594,571
4,596,545
4,599,448
4,600,10
4,602,448
4,604,31
4,605,448
4,606,448
4,610,425
4,611,31
4,615,448
4,620,571
4,621,11
4,623,426
4,624,73
4,625,73
4,628,10
4,632,426
4,634,448
4,635,502
4,637,571
4,638,571
4,641,11
4,643,409
4,646,448
4,647,448
4,648,409
4,649,11
4,658,409
4,719,39
5,13,650
5,17,377
5,18,377
5,19,377
5,20,377
5,21,377
5,34,377
5,62,650
5,103,22
5,104,377
5,115,377
5,117,650
5,125,650
5,129,377
5,179,377
5,180,594
5,186,650
5,190,377
5,207,650
5,220,377
5,253,377
5,259,377
5,268,377
5,272,650
5,280,641
5,282,642
5,292,450
5,300,650
5,387,377
5,466,650
5,468,650
5,504,567
5,530,377
5,538,650
5,552,650
5,574,377
5,578,377
5,581,650
5,595,650
5,628,377
5,636,650
6,7,31
6,103,22
6,122,31
6,138,31
6,180,594
6,200,31
6,280,641
6,296,31
6,298,31
6,561,31
6,603,31
7,8,571
7,9,97
7,16,69
7,17,10
7,18,10
7,19,10
7,20,10
7,21,10
7,24,97
7,25,31
7,28,426
7,30,97
7,34,10
7,36,97
7,41,11
7,43,11
7,45,425
7,48,31
7,58,31
7,59,31
7,62,386
7,66,11
7,70,448
7,71,448
7,74,426
7,75,571
7,78,11
7,83,10
7,84,31
7,88,31
7,89,448
7,93,11
7,96,97
7,97,545
7,98,97
7,99,39
7,100,11
7,102,10
7,103,10
7,104,10
7,107,11
7,108,97
7,110,11
7,112,10
7,115,10
7,118,11
7,119,31
7,120,11
7,123,571
7,124,409
7,127,11
7,129,10
7,131,73
7,132,97
7,135,97
7,136,10
7,137,31
7,138,11
7,139,97
7,140,448
7,141,31
7,146,97
7,147,11
7,148,10
7,149,10
7,150,73
7,151,11
7,152,448
7,153,97
7,154,97
7,156,11
7,157,571
7,158,571
7,160,11
7,161,11
7,162,31
7,164,10
7,165,11
7,166,11
7,167,426
7,169,10
7,172,11
7,173,10
7,175,10
7,177,448
7,178,10
7,179,10
7,180,571
7,182,11
7,185,11
7,187,31
7,190,10
7,191,425
7,193,448
7,194,31
7,195,11
